Repository,Min Date,Max Date,Range,Number of PRs,PR from GitHub,Difference
nickbabcock/OhmGraphite,2023-06-12,2023-06-26,15,1,2,1
MatrixAI/Polykey,2023-08-09,2023-08-23,15,1,3,2
openai/evals,2023-04-16,2023-06-09,55,2,382,380
Altinity/clickhouse-backup,2023-04-19,2023-05-03,15,1,2,1
VOICEVOX/voicevox_core,2023-06-18,2023-08-06,50,3,24,21
sashabaranov/go-openai,2023-06-08,2023-06-22,15,1,44,43
ubiquity/ubiquibot,2023-08-04,2023-08-18,15,1,29,28
unoplatform/uno,2023-05-19,2023-06-02,15,1,86,85
4dn-dcic/foursight-core,2023-06-11,2023-06-25,15,1,2,1
wahanegi/vibereport,2023-05-03,2023-05-17,15,1,16,15
torrust/torrust-index-frontend,2023-07-06,2023-07-20,15,1,29,28
simonw/llm,2023-06-19,2023-07-03,15,1,3,2
gravitational/teleport,2022-12-06,2022-12-20,15,1,359,358
decred/dcrdex,2023-04-24,2023-05-08,15,1,18,17
rust-lang/rfcs,2023-07-17,2023-07-31,15,1,7,6
mindee/doctr,2023-05-23,2023-06-06,15,1,8,7
